
99.53228263463205,0.031081438064575195
99.51911885269759,0.3092489242553711
99.50651935299813,0.5586531162261963
99.49429697732775,0.8003802299499512
99.48094470662097,1.0565307140350342
99.46895865907914,1.3144359588623047
99.45689733077442,1.551271677017212
99.44408837062264,1.810408353805542
99.43166383430466,2.0571494102478027
99.41918806507579,2.306307077407837
99.40751413912056,2.544325828552246
99.39380133374044,2.7965385913848877
99.38121977837719,3.0502171516418457
99.3687022488938,3.298849105834961
99.35645997576216,3.5583670139312744
99.34419748778646,3.807060480117798
99.3310251975511,4.054611921310425
99.31898980918818,4.309337615966797
99.30677539250226,4.555658340454102
99.29415738694314,4.8046653270721436
99.28196837308965,5.047782897949219
99.26893855111814,5.30700421333313
99.25680146597635,5.549444913864136
99.24517893162349,5.787096738815308
99.23149914626337,6.056870222091675
99.21863824519282,6.3146772384643555
99.2065855838804,6.5539233684539795
99.19397478046983,6.807978391647339
99.18138443604393,7.062727212905884
99.16948491194083,7.294788122177124
99.15697130091455,7.546884059906006
99.14358112737517,7.8017988204956055
99.13119675219063,8.06640338897705
99.11835573637427,8.307742595672607
99.10625915416276,8.565922975540161
99.09403110222273,8.809672117233276
99.0810580429474,9.052794218063354
99.0692001448215,9.300682544708252
99.05679253965612,9.55273175239563
99.04404705606775,9.805500745773315
99.03129676290898,10.056429624557495
99.01960860355511,10.302720785140991
99.00701204575024,10.541754007339478
98.99391470668789,10.810804605484009
98.98164963082152,11.050235986709595
98.96938594655674,11.294464588165283
98.95708666658831,11.541642189025879
98.94454540663585,11.796505212783813
98.93217517940074,12.039950132369995
98.91960529395952,12.29310393333435
98.90709945881224,12.54105019569397
98.8946361285484,12.793308734893799
98.88190557415949,13.047830820083618
98.86963097680864,13.292498588562012
98.85711588873151,13.539486408233643
98.844428998894,13.80013632774353
98.83208554167884,14.043324947357178
98.82061066357815,14.282054662704468
98.80681964774767,14.547312021255493
99.02321502450731,9.744483232498169
99.0107274754931,9.995837926864624
98.99823490938897,10.244217872619629
98.9857176728743,10.494041681289673
98.97321243587153,10.744473695755005
98.96072497230652,10.99556827545166
98.94822834126094,11.24561071395874
98.93569291626947,11.494511842727661
98.92321496198198,11.744726657867432
98.91072780359276,11.99477744102478
98.89821892889464,12.245496034622192
98.88568599413757,12.493854522705078
98.87322882842462,12.74341106414795
98.86071040782791,12.995371580123901
98.84822613029814,13.244965076446533
98.83569402561919,13.49409794807434
98.82322206498412,13.744219779968262
98.81072405454398,13.994913578033447
98.79819319498225,14.245242357254028
98.78569921286248,14.493525981903076
98.77322987673918,14.744211435317993
98.76072374862314,14.9951753616333
98.74821018642496,15.245530843734741
98.73571921944195,15.495076417922974
98.72321857228302,15.744059801101685
98.7107182058858,15.99500322341919
98.69822295423475,16.2450168132782
98.68568218256351,16.49453353881836
98.6732109421433,16.74419665336609
98.66072917926199,16.994564294815063
98.64823186462264,17.245251178741455
98.63567838543166,17.494916439056396
98.62321753319517,17.745111227035522
98.61072565068483,17.99505066871643
98.59821577501015,18.244027853012085
98.585688247968,18.495219230651855
98.5731919220982,18.74349856376648
98.5607305815805,18.995616674423218
98.54821836215577,19.244033575057983
98.53652760270421,19.4779212474823
98.52322287838486,19.744544744491577
98.51072860329634,19.99524211883545
98.49821855672322,20.245408296585083
98.48570077089212,20.493767499923706
98.4732228410187,20.74453091621399
98.46073014063724,20.994787454605103
98.44822846808768,21.245490550994873
98.43569076038133,21.494850873947144
98.42320975433597,21.74494504928589
98.41072426831008,21.995121240615845
98.39822963921766,22.245294094085693
98.38572409703913,22.494006395339966
98.37322724626698,22.7443904876709
98.36071881102198,22.99582600593567
98.34823265360936,23.24608302116394
98.33571962852056,23.49340796470642
98.3232279413227,23.74382448196411
98.31073030930052,23.994234085083008
98.29823349514945,24.24397039413452
